16:57:23:842Z,geotab_com,1 x 5,5,11.20,563.32
16:57:23:911Z,geotab_com,1 x 5,5,11.35,588.29
16:57:23:935Z,geotab_com,5 x 1,5,6.68,537.12
16:57:23:936Z,geotab_com,1 x 4,4,4.97,522.47
16:57:23:936Z,geotab_com,5 x 1,5,6.52,523.75
16:57:23:967Z,geotab_com,1 x 2,2,3.37,236.57
16:57:23:990Z,geotab_com,4 x 1,4,6.04,565.20
16:57:24:087Z,geotab_com,2 x 1,2,3.13,200.99
16:57:24:814Z,geotab_com,1 x 5,5,6.04,604.39
16:57:24:815Z,geotab_com,1 x 5,5,5.62,575.92
16:57:24:816Z,geotab_com,1 x 5,5,4.06,288.53
16:57:24:907Z,geotab_com,5 x 1,5,6.00,530.47
16:57:24:907Z,geotab_com,5 x 1,5,6.51,523.53
16:57:24:908Z,geotab_com,5 x 1,5,3.48,247.89
16:57:25:957Z,geotab_com,1 x 3,3,4.84,490.22
16:57:26:013Z,geotab_com,3 x 1,3,5.60,466.62
16:57:26:964Z,geotab_com,1 x 4,4,5.29,554.17
16:57:26:964Z,geotab_com,1 x 4,4,5.04,524.42
16:57:26:965Z,geotab_com,1 x 5,5,3.95,213.10
16:57:26:966Z,geotab_com,4 x 1,4,5.33,507.28
16:57:26:966Z,geotab_com,4 x 1,4,5.32,495.76
16:57:26:990Z,geotab_com,5 x 1,5,3.55,269.25
16:57:27:203Z,geotab_com,1 x 3,3,4.90,497.65
16:57:27:242Z,geotab_com,3 x 1,3,5.92,475.59
16:57:27:262Z,geotab_com,1 x 4,4,5.26,515.97
16:57:27:402Z,geotab_com,4 x 1,4,5.79,490.36
16:57:57:645Z,geotab_com,52 x 52,2704,2119.38,999
16:58:00:647Z,geotab_com,1 x 5,5,9.67,552.17
16:58:00:666Z,geotab_com,1 x 5,5,6.61,565.73
16:58:00:683Z,geotab_com,1 x 4,4,8.89,559.56
16:58:00:708Z,geotab_com,5 x 1,5,5.84,522.04
16:58:00:727Z,geotab_com,5 x 1,5,6.06,511.14
16:58:00:728Z,geotab_com,4 x 1,4,4.98,565.64
16:58:00:737Z,geotab_com,1 x 2,2,3.00,226.10
16:58:00:798Z,geotab_com,2 x 1,2,2.73,195.13
16:58:01:168Z,geotab_com,1 x 5,5,4.91,570.81
16:58:01:174Z,geotab_com,1 x 5,5,3.45,555.06
16:58:01:174Z,geotab_com,1 x 5,5,4.96,560.13
16:58:01:237Z,geotab_com,5 x 1,5,6.30,562.18
16:58:01:238Z,geotab_com,5 x 1,5,3.13,249.68
16:58:01:270Z,geotab_com,5 x 1,5,5.32,520.87
16:58:01:636Z,geotab_com,1 x 3,3,4.62,488.18
16:58:01:722Z,geotab_com,3 x 1,3,5.35,475.55
16:58:03:864Z,geotab_com,1 x 4,4,5.20,576.35
16:58:03:865Z,geotab_com,1 x 5,5,5.32,544.56
16:58:03:928Z,geotab_com,1 x 5,5,5.47,557.39
16:58:03:981Z,geotab_com,4 x 1,4,5.00,572.66
16:58:03:982Z,geotab_com,5 x 1,5,5.28,528.62
16:58:04:061Z,geotab_com,5 x 1,5,6.29,519.29
16:58:04:308Z,geotab_com,1 x 2,2,91.85,219.74
16:58:04:402Z,geotab_com,2 x 1,2,99.05,187.73
16:58:04:423Z,geotab_com,1 x 4,4,4.67,521.75
16:58:04:428Z,geotab_com,1 x 5,5,3.40,235.91
16:58:04:428Z,geotab_com,5 x 1,5,3.25,249.63
16:58:04:605Z,geotab_com,4 x 1,4,7.02,493.54
16:58:04:619Z,geotab_com,1 x 4,4,5.89,533.52
16:58:04:644Z,geotab_com,1 x 5,5,4.94,576.35
16:58:04:681Z,geotab_com,4 x 1,4,5.94,507.31
16:58:04:705Z,geotab_com,1 x 5,5,3.92,256.45
16:58:04:716Z,geotab_com,5 x 1,5,5.58,512.74
16:58:04:815Z,geotab_com,5 x 1,5,3.55,261.14
16:58:04:816Z,geotab_com,1 x 5,5,5.19,588.73
16:58:04:922Z,geotab_com,5 x 1,5,5.57,563.39
16:58:05:028Z,geotab_com,1 x 3,3,4.66,490.48
16:58:05:102Z,geotab_com,1 x 4,4,5.45,535.23
16:58:05:156Z,geotab_com,3 x 1,3,5.52,473.81
16:58:05:200Z,geotab_com,4 x 1,4,5.38,491.79
16:58:05:405Z,geotab_com,1 x 3,3,4.86,474.04
16:58:05:459Z,geotab_com,3 x 1,3,5.70,490.01
16:58:05:718Z,geotab_com,1 x 4,4,48.87,541.96
16:58:05:745Z,geotab_com,1 x 5,5,3.82,234.76
16:58:05:753Z,geotab_com,1 x 4,4,5.87,541.13
16:58:05:799Z,geotab_com,4 x 1,4,5.86,490.29
16:58:05:864Z,geotab_com,5 x 1,5,3.40,253.70
16:58:05:879Z,geotab_com,4 x 1,4,5.35,494.41
16:58:06:226Z,geotab_com,1 x 3,3,4.64,494.54
16:58:06:519Z,geotab_com,1 x 4,4,4.86,484.98
16:58:06:519Z,geotab_com,3 x 1,3,4.77,465.35
16:58:06:520Z,geotab_com,4 x 1,4,5.07,484.90
16:58:29:384Z,geotab_com,1 x 63,63,65.11,9648.29
16:58:29:399Z,geotab_com,1 x 12,12,74.35,5189.32
16:58:29:411Z,geotab_com,1 x 9,9,52.30,5993.43
16:58:29:465Z,geotab_com,12 x 1,12,16.84,6349.89
16:58:29:495Z,geotab_com,9 x 1,9,14.11,5014.70
16:58:29:548Z,geotab_com,63 x 1,63,89.00,35307.97
16:58:29:603Z,geotab_com,1 x 44,44,74.37,15147.95
16:58:29:759Z,geotab_com,44 x 1,44,110.23,24549.49
16:58:29:792Z,geotab_com,1 x 3,3,6.90,1271.18
16:58:29:915Z,geotab_com,3 x 1,3,7.58,1830.56
16:58:54:791Z,geotab_com,1 x 48,48,58.73,13677.01
16:58:54:895Z,geotab_com,1 x 42,42,77.22,20475.67
16:58:54:896Z,geotab_com,1 x 77,77,96.88,16180.70
16:58:54:917Z,geotab_com,48 x 1,48,62.64,45229.75
16:58:54:993Z,geotab_com,42 x 1,42,98.21,34717.55
16:58:55:013Z,geotab_com,77 x 1,77,103.12,63416.63
16:58:55:014Z,geotab_com,1 x 2,2,8.95,3203.46
16:58:55:080Z,geotab_com,1 x 5,5,10.66,3618.14
